Image's Count,MLS® #,Address,Property Info,Size,Asking Price,Date,Seller's Agent
1 of 1, R2720295,4838 BELMONT AVENUE|Vancouver BC|(Point Grey) V6T 1A9|(Point Grey) V6T 1A9|FOR SALE,House|2 Storey w/Bsmt.|Newly Built (2022)|Freehold NonStrata,"House Size|5 bed • 8 bath|12,410 sqft|Lot Size|0.85 acre|0.85 acre","$59,800,000",,Macdonald Realty|info@manyeelui.com|Macdonald Realty Manyee Lui PREC*604-263-9988Macdonald RealtyJosephine Kwok
1 of 34, R2705634,5462 STONEBRIDGE DRIVE|Stonebridge|Whistler BC|(Westside) V8E 0V9|(Westside) V8E 0V9|FOR SALE,House|3 Storey|Legal Suite|8 years old (2014)|Freehold NonStrata,"House Size|6 bed • 10 bath|8,700 sqft|Lot Size|7.26 acre|7.26 acre","$39,000,000|assessment $16,979,000|price:assess ratio 229.7%",,Engel & Volkers Whistler|maggi.thornhill@evcanada.com|Engel & Volkers Whistler Maggi Thornhill PREC*604-932-1875
1 of 40, R2724314,730 FAIRMILE ROAD|West Vancouver BC|(British Properties) V7S 1R2|(British Properties) V7S 1R2|FOR SALE,House|2 Storey w/Bsmt.|6 years old (2016)|Freehold NonStrata,"House Size|8 bed • 11 bath|14,759 sqft|Lot Size|0.64 acre|0.64 acre","$36,968,000|assessment $13,568,000|price:assess ratio 272.5%",,Rennie & Associates Realty - Jason Soprovich|jason@jasonsoprovich.com|Rennie & Associates Realty - Jason Soprovich Jason Soprovich604-817-8812
1 of 1, R2716316,# PH2 1128 W GEORGIA STREET|Living Shangri-La |Vancouver BC|(West End VW) V6E 0A8|(West End VW) V6E 0A8|FOR SALE,"Apartment|2 Storey, Penthouse|14 years old (2008)|Freehold Strata","House Size|3 bed • 5 bath|4,363 sqft","$34,800,000|assessment $12,603,000|price:assess ratio 276.1%|Maint. fee $5,095.32|Maint. fee $5,095.32",,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.|malcolm@malcolmhasman.com|Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd. Malcolm Hasman604-290-1679"
1 of 20, R2716382,4788 BELMONT AVENUE|Vancouver BC|(Point Grey) V6T 1A9|(Point Grey) V6T 1A9|FOR SALE,House|3 Storey w/Bsmt|25 years old (1997)|Freehold NonStrata,"House Size|7 bed • 11 bath|10,548 sqft|Lot Size|0.61 acre|0.61 acre","$33,888,000|assessment $21,454,000|price:assess ratio 158.0%",,Sutton Group-West Coast Realty|carolinehong888@gmail.com|Sutton Group-West Coast Realty Caroline Hong PREC*604-649-8638
1 of 38, R2698168,# PH02 1011 W CORDOVA STREET|ESTATES AT THE FAIRMONT PACIFIC RIM |Vancouver BC|(Coal Harbour) V6C 0B2|(Coal Harbour) V6C 0B2|FOR SALE,"Apartment|2 Storey, Penthouse|12 years old (2010)|Freehold Strata|waterfront","House Size|4 bed • 5 bath|6,585 sqft","$29,000,000|assessment $19,446,000|price:assess ratio 149.1%|Maint. fee $5,951.23|Maint. fee $5,951.23",,Rennie & Associates Realty Ltd.|skai@rennie.com|Rennie & Associates Realty Ltd. Salina Kai PREC*604-773-7013
1 of 40, R2720193,1188 W 55TH AVENUE|Vancouver BC|(South Granville) V6P 1R1|(South Granville) V6P 1R1|FOR SALE,House|2 Storey w/Bsmt.|26 years old (1996)|Freehold NonStrata,"House Size|8 bed • 12 bath|15,371 sqft|Lot Size|1.05 acre|1.05 acre","$28,880,000|assessment $18,996,000|price:assess ratio 152.0%",,Sutton Group-West Coast Realty|weiweidichan@gmail.com|Sutton Group-West Coast Realty Peter Saito PREC*604-220-8838Sutton Group-West Coast RealtyVivian Li PREC*
1 of 40, R2687922,1389 MATTHEWS AVENUE|Vancouver BC|(Shaughnessy) V6H 1W7|(Shaughnessy) V6H 1W7|FOR SALE,House|2 Storey w/Bsmt.|7 years old (2015)|Other,"House Size|6 bed • 9 bath|10,816 sqft|Lot Size|0.54 acre|0.54 acre","$28,800,000|assessment $20,228,000|price:assess ratio 142.4%",,Royal Pacific Realty Corp.|jennyherealty@gmail.com|Royal Pacific Realty Corp. Jenny He PREC*778-822-8566
1 of 40, R2712939,3537 OSLER STREET|Vancouver BC|(Shaughnessy) V6H 2W4|(Shaughnessy) V6H 2W4|FOR SALE,House|2 Storey w/Bsmt.|12 years old (2010)|Freehold NonStrata,"House Size|5 bed • 9 bath|10,880 sqft|Lot Size|0.52 acre|0.52 acre","$28,800,000|assessment $18,015,000|price:assess ratio 159.9%",,Icon&co. Boutique Inc.|crystal@iconco.ca|Icon&co. Boutique Inc. Crystal Hung PREC*778-893-2422Macdonald Realty WestmarJuliette(YongHong) Zhang PREC*
1 of 3, R2701354,4883 BELMONT AVENUE|Vancouver BC|(Point Grey) V6T 1A8|(Point Grey) V6T 1A8|FOR SALE,House|Other|Newly Built (2022)|Freehold NonStrata,House Size|0 bed • 0 bath|Lot Size|2.88 acre|2.88 acre,"$26,000,000",,LDG Realty|dengrealty@hotmail.com|LDG Realty Danny Deng PREC*778-808-9288
1 of 1, R2685670,9220 NO. 5 ROAD|Richmond BC|(Ironwood) V6Y 2V4|(Ironwood) V6Y 2V4|FOR SALE,Vacant Lot||Freehold NonStrata,Lot Size|20778.01 ac,"$25,000,000|assessment $54,802|price:assess ratio 45618.8%",,Macdonald Commercial Real Estate Services Ltd.|yang.yang@macdonaldcommercial.com|Macdonald Commercial Real Estate Services Ltd. Yang Yang PREC*604-418-8246Macdonald Commercial Real Estate Services Ltd.Christopher Midmore
1 of 40, R2672622,1738 ANGUS DRIVE|Vancouver BC|(Shaughnessy) V6J 4H5|(Shaughnessy) V6J 4H5|FOR SALE,House|3 Storey|99 years old (1923)|Freehold NonStrata,"House Size|4 bed • 7 bath|7,984 sqft|Lot Size|1.17 acre|1.17 acre","$24,998,000|assessment $15,626,000|price:assess ratio 160.0%",,Sotheby's International Realty Canada|monique@moniquebadun.com|Sotheby's International Realty Canada Monique Badun604-644-5531Sotheby's International Realty CanadaKim CraigMacdonald RealtyJacqueline Robinson
1 of 25, R2722468,1126 WOLFE AVENUE|Vancouver BC|(Shaughnessy) V6H 1V8|(Shaughnessy) V6H 1V8|FOR SALE,House|3 Storey|6 years old (2016)|Freehold NonStrata,"House Size|6 bed • 8 bath|11,019 sqft|Lot Size|0.53 acre|0.53 acre","$24,880,000|assessment $16,143,000|price:assess ratio 154.1%",,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.|malcolm@malcolmhasman.com|Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd. Malcolm Hasman604-290-1679Luxmore RealtySarina Han PREC*"
1 of 40, R2697014,1318 MINTO CRESCENT|Vancouver BC|(Shaughnessy) V6H 2J5|(Shaughnessy) V6H 2J5|FOR SALE,House|2 Storey w/Bsmt.|10 years old (2012)|Freehold NonStrata,"House Size|5 bed • 9 bath|9,949 sqft|Lot Size|0.61 acre|0.61 acre","$24,800,000|assessment $17,729,000|price:assess ratio 139.9%",,Faith Wilson Group|info@faithwilsongroup.com|Faith Wilson Group Faith Wilson604-224-5277
